1,1,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
2,4,"BANGALORE MED. COLLEGE,BANGALORE",MBBS,UR,UR,Allotted
3,7,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
4,8,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
5,10,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
6,12,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
7,15,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
8,17,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
9,18,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
10,19,"GOVT. MEDICAL COLLEGE, KOTTAYAM",MBBS,UR,UR,Allotted
11,20,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
12,21,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,UR,UR,Allotted
13,22,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
14,23,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
15,24,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
16,25,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
17,26,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,UR,UR,Allotted
18,30,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
19,31,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
20,32,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
21,34,"BANGALORE MED. COLLEGE,BANGALORE",MBBS,UR,UR,Allotted
22,35,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
23,36,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
24,37,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
25,38,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
26,39,"GOVT.MEDICALCOLLEGE,THIRUVANANTHAPURAM",MBBS,UR,UR,Allotted
27,41,"GOVT.MEDICALCOLLEGE,THIRUVANANTHAPURAM",MBBS,UR,UR,Allotted
28,43,"IMS BHU, Varanasi, UP",MBBS,UR,UR,Allotted
29,45,"LADY HARDINGE MEDICAL COLLEGE, NEWDELHI",MBBS,UR,UR,Allotted
30,49,"University College of Medical Sciences, Delhi",MBBS,UR,UR,Allotted
31,50,"GOVT. MEDICAL COLLEGE, KOZHIKODE",MBBS,UR,OBC,Allotted
32,51,"VMMC AND SAFDARJUNG HOSPITAL, NEWDELHI",MBBS,UR,UR,Allotted
33,53,"MAULANA AZAD MEDICAL COLLEGE, NEWDELHI",MBBS,OBC,OBC,Allotted
34,55,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,UR,OBC,Allotted
35,56,"VMMC AND SAFDARJUNG HOSPITAL, NEWDELHI",MBBS,UR,UR,Allotted
36,57,"VMMC AND SAFDARJUNG HOSPITAL, NEWDELHI",MBBS,UR,UR,Allotted
37,59,"S.M.S. MEDICAL COLLEGE, JAIPUR",MBBS,UR,UR,Allotted
38,60,"GOVERNMENT MEDICAL COLLEGE ANDHOSPITAL, CHANDIGAR",MBBS,UR,UR,Allotted
39,61,"University College of Medical Sciences, Delhi",MBBS,UR,UR,Allotted
40,62,"VMMC AND SAFDARJUNG HOSPITAL, NEWDELHI",MBBS,UR,UR,Allotted
41,63,"GOVT. MEDICAL COLLEGE, KOZHIKODE",MBBS,UR,UR,Allotted
42,64,"GOVERNMENT MEDICAL COLLEGE ANDHOSPITAL, CHANDIGAR",MBBS,UR,UR,Allotted
43,65,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,UR,UR,Allotted
44,67,"University College of Medical Sciences, Delhi",MBBS,UR,UR,Allotted
45,68,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,UR,UR,Allotted
46,69,"University College of Medical Sciences, Delhi",MBBS,UR,UR,Allotted
